voltage, time
0.07275,10.49
0.069375,10.498
0.072125,10.507
0.07325,10.516
0.071,10.524
0.07375,10.533
0.0735,10.541
0.07275,10.55
0.070625,10.558
3.0409,10.567
2.9699,10.575
2.9562,10.584
2.9546,10.593
3.007,10.601
2.9949,10.61
3.0718,10.618
3.0235,10.627
3.0635,10.635
3.048,10.644
3.0869,10.652
3.0852,10.661
3.0863,10.67
3.0956,10.678
3.0721,10.687
3.0744,10.695
3.0842,10.704
3.0777,10.712
3.0926,10.721
3.0926,10.729
3.0959,10.738
3.0911,10.747
3.1115,10.755
3.0897,10.764
3.1096,10.772
3.1113,10.781
3.0878,10.789
3.0798,10.798
3.1082,10.806
3.1252,10.815
3.1138,10.824
3.1185,10.832
3.1223,10.841
3.0994,10.849
3.1242,10.858
3.1039,10.866
3.1134,10.875
3.0934,10.883
3.1273,10.892
3.1295,10.901
3.0966,10.909
3.0751,10.918
3.0985,10.926
3.0798,10.935
3.0962,10.943
3.0812,10.952
3.0894,10.96
3.0875,10.969
3.1286,10.978
3.0848,10.986
3.0934,10.995
3.111,11.003
3.1129,11.012
3.0941,11.02
3.114,11.029
3.1151,11.037
3.1397,11.046
3.1069,11.055
3.115,11.063
3.0873,11.072
3.1197,11.08
3.1165,11.089
3.1162,11.097
3.1176,11.106
3.1319,11.114
3.1144,11.123
3.12,11.132
3.1046,11.14
3.1117,11.149
3.0879,11.157
3.1244,11.166
3.1252,11.174
3.1134,11.183
3.1124,11.191
3.1136,11.2
3.0841,11.209
3.1101,11.217
3.0892,11.226
3.1074,11.234
3.0935,11.243
3.0996,11.251
3.0884,11.26
3.1146,11.268
3.1229,11.277
3.1095,11.286
3.0951,11.294
3.1132,11.303
3.1091,11.311
3.1091,11.32
3.1185,11.328
3.0901,11.337
3.0802,11.345
3.103,11.354
3.1086,11.363
3.1194,11.371
3.0899,11.38
3.1,11.388
3.1037,11.397
3.12,11.405
3.0892,11.414
3.1241,11.422
3.1242,11.431
3.1132,11.44
3.081,11.448
3.1114,11.457
3.0794,11.465
3.1249,11.474
3.0819,11.482
3.1,11.491
3.0824,11.499
3.1114,11.508
3.0791,11.517
3.1124,11.525
3.0735,11.534
3.0819,11.542
3.0785,11.551
3.087,11.559
3.0772,11.568
3.0915,11.576
3.0855,11.585
3.0971,11.594
3.1144,11.602
3.1059,11.611
3.0845,11.619
3.1204,11.628
3.1295,11.636
3.1156,11.645
3.1081,11.653
3.1507,11.662
3.1248,11.671
3.1415,11.679
3.1103,11.688
3.1449,11.696
3.1155,11.705
3.146,11.713
3.1165,11.722
3.115,11.73
3.1029,11.739
3.1509,11.748
3.1258,11.756
3.1427,11.765
3.1179,11.773
3.1315,11.782
3.1286,11.79
3.1492,11.799
3.1179,11.807
3.1557,11.816
3.1233,11.825
3.1383,11.833
3.1256,11.842
3.1331,11.85
3.1311,11.859
3.15,11.867
3.1503,11.876
3.1365,11.884
3.1229,11.893
3.1696,11.902
3.1545,11.91
3.137,11.919
3.1456,11.927
3.2141,11.936
3.228,11.944
3.2324,11.953
3.2801,11.961
3.2944,11.97
3.263,11.979
3.3041,11.987
3.2905,11.996
3.322,12.004
3.2884,12.013
3.2966,12.021
3.3125,12.03
3.2935,12.039
3.2814,12.047
3.3091,12.056
3.3112,12.064
3.3104,12.073
3.2877,12.081
3.3136,12.09
3.319,12.098
3.3031,12.107
3.289,12.116
3.3192,12.124
3.2861,12.133
3.3014,12.141
3.3115,12.15
3.3129,12.158
3.3019,12.167
3.3203,12.175
3.3163,12.184
3.3095,12.193
3.2814,12.201
3.2908,12.21
3.2915,12.218
3.3014,12.227
3.2917,12.235
3.3274,12.244
3.3,12.252
3.3145,12.261
3.3235,12.27
3.3036,12.278
3.2881,12.287
3.3058,12.295
3.2985,12.304
3.3436,12.312
3.302,12.321
3.3351,12.329
3.2991,12.338
3.3243,12.347
3.3061,12.355
3.3186,12.364
3.2844,12.372
3.3096,12.381
3.282,12.389
3.3087,12.398
3.3209,12.406
3.308,12.415
